"#","ИД установе","Школска управа","Округ","Општина","Насеље","Назив установе","Адреса","Поштански број","Адреса електронске поште","Телефон","Сајт","Матични број","ПИБ","Датум оснивања","Примарна делатност","Власништво","Број одељења","Број комбинованих одељења","Број специјалних одељења","Број ученика","Број девојчица","Број ученика - ИОП 1","Број ученика - ИОП 2","Број ученика - ИОП 3","Број наставника - без замена","Укупна норма наставникаа - без замена","Број запослених - без замена","Укупна норма запослених- без замена"
"342.","1696","Лесковац","Јабланички управни округ","Медвеђа","Медвеђа","Техничка школа Никола Тесла","Његошева 1","16240","ssniktesmed1@ptt.rs","(016)891028","http://nikolateslamedvedja.weebly.com","7138458","101464565","1964-08-20","Средње стручне школе","Државно","15","0","0","189","82","0","0","0","44","27.444100","56","40.744100"
"343.","1697","Лесковац","Јабланички управни округ","Лебане","Лебане","Гимназија","Цара Душана 78","16230","gimnazija.lebane@gmail.com","(016)843311","http://www.gimnazija.lebane.edu.rs","7355114","100529036","1969-02-17","Гимназије","Државно","6","0","0","135","78","0","0","0","27","14.622200","40","26.622200"
"344.","1698","Лесковац","Јабланички управни округ","Лебане","Лебане","Средња техничка школа Вожд Карађорђе","Цара Душана 78","16230","vozdlebane@yahoo.com","(016)843205","http://www.stslebane.edu.rs","7355122","100529052","1947-09-01","Средње стручне школе","Државно","15","0","0","381","129","0","1","0","58","32.816500","73","47.316500"
"345.","1699","Лесковац","Јабланички управни округ","Бојник","Бојник","Техничка школа Бошко Крстић","Стојана Љубића 2","16205","info@tesbo.edu.rs","(016)821162","http://www.tesbo.edu.rs","7283342","100371310","1979-09-01","Средње стручне школе","Државно","10","0","0","217","105","1","1","0","42","28.807500","57","44.807500"
"346.","1700","Лесковац","Јабланички управни округ","Црна Трава","Црна Трава","Техничка школа са домом ученика Милентије Поповић","Милентија Поповића бб","16215","ssmilpopcrt1@gmail.com","(016)811114","http://www.tehnickaskolacrnatrava.nasaskola.rs","7196849","101064817","1919-09-15","Средње стручне школе","Државно","5","0","0","77","23","0","0","0","19","9.892200","39","30.892200"
"347.","1701","Лесковац","Пчињски управни округ","Врање","Врање","Гимназија Бора Станковић","Партизанска 12","17500","vrgimnazija@gmail.com","(017)431992","http://www.vranjskagimnazija.edu.rs","7138946","100403298","1965-07-02","Гимназије","Државно","27","0","0","787","433","0","0","0","72","55.720200","88","74.720200"
"348.","1702","Лесковац","Пчињски управни округ","Врање","Врање","Економско-трговинска школа","Есперанто бб","17501","etsvranje@yahoo.com","(017)422766","http://www.ekonomskavranje.edu.rs","7205856","100553262","1955-07-05","Средње стручне школе","Државно","28","0","0","811","506","0","3","0","91","65.513600","106","84.513600"
"349.","1703","Лесковац","Пчињски управни округ","Врање","Врање","Медицинска школа Др Изабел Емсли Хатон","Моше Пијаде бб","17500","medicinskavr@gmail.com","(017)405035","http://medicinskavranje.edu.rs","17289080","100553676","2000-05-17","Средње стручне школе","Државно","16","0","0","485","361","1","1","0","67","44.049800","80","58.472000"
"350.","1704","Лесковац","Пчињски управни округ","Врање","Врање","Техничка школа","Булевар АВНОЈА 2","17500","tehnickaskolavr@mts.rs","(017)400645","http://www.tehnickaskolavranje.edu.rs","7138954","100549264","1965-09-01","Средње стручне школе","Државно","26","0","0","749","106","1","1","0","82","64.477800","96","79.977800"
"351.","1705","Лесковац","Пчињски управни округ","Врање","Врање","Хемијско-технолошка школа","Моше Пијаде бб","17500","direktorhts@gmail.com","(017)423630","http://www.hts-vranje.edu.rs","7346859","100552237","1986-05-30","Средње стручне школе","Државно","15","0","0","359","226","2","7","0","55","33.154700","70","47.154700"
"352.","1706","Лесковац","Пчињски управни округ","Врање","Врање","Средња пољопривредно-ветеринарска школа Стеван Синђелић","Браће Рибника бб","17500","poljvetskolavranje@mts.rs","(017)432812","http://www.poljvetskolavr.edu.rs","7412088","100406149","1990-06-29","Средње стручне школе","Државно","12","0","0","258","113","1","6","0","47","29.521700","61","44.021700"
"353.","1708","Лесковац","Пчињски управни округ","Бујановац","Бујановац","Стручна школа Свети Сава","Карађорђа Петровића 240","17520","svetisava@verat.net","(017)651057","http://www.ssssvetisavabujanovac.nasaskola.rs","7104324","100975778","1992-04-23","Средње стручне школе","Државно","17","0","0","398","215","0","3","0","53","38.219900","68","53.219900"
"354.","1709","Лесковац","Пчињски управни округ","Бујановац","Бујановац","Средња школа Сезаи Сурои","Миђени бб","17520","sezai_surroi@hotmail.com","(017)653826","http://www.sezaisurroi.com","7140053","102220705","1968-09-01","Средње стручне школе","Државно","32","0","0","830","367","0","0","0","99","77.176000","121","102.076000"
"355.","1710","Лесковац","Пчињски управни округ","Владичин Хан","Владичин Хан","Гимназија Јован Скерлић","Моше Пијаде 21","17510","gimnazijajsker-vlhan@mts.rs","(017)474826","http://www.gimnazijahan.com","7138342","100925199","1964-04-18","Гимназије","Државно","8","0","0","211","143","1","0","0","25","15.497800","42","33.467800"
"356.","1711","Лесковац","Пчињски управни округ","Владичин Хан","Владичин Хан","Техничка школа","Моше Пијаде 21","17510","tehnickahan@ptt.rs","(017)473900","http://www.tehnickahan.edu.rs","7573944","100925203","1990-06-07","Средње стручне школе","Државно","17","0","0","476","140","2","0","0","69","41.841400","87","61.341400"
"357.","1712","Лесковац","Пчињски управни округ","Сурдулица","Сурдулица","Гимназија Светозар Марковић","Сурдуличких мученика бб","17530","gimnazijasm-surd@mts.rs","(017)812870","https://gimnazijasurdulica.wordpress.com/","7573537","100951306","1990-09-03","Гимназије","Државно","4","0","0","92","54","0","0","0","22","9.371700","30","16.371700"
"358.","1713","Лесковац","Пчињски управни округ","Сурдулица","Сурдулица","Техничка школа Никола Тесла","Томе Ивановића 24","17530","nteslasurd@mts.rs","(017)814119","http://www.nteslasurd.edu.rs","7180608","100951752","1924-08-24","Средње стручне школе","Државно","15","0","0","415","151","0","5","0","44","35.909200","60","52.289200"
"359.","1714","Лесковац","Пчињски управни округ","Сурдулица","Сурдулица","Пољопривредно-шумарска школа Јосиф Панчић","Сурдуличких мученика бб","17530","jpancic@ptt.rs","(017)815051","http://www.skolapancic.edu.rs","7180594","100951291","1957-09-01","Средње стручне школе","Државно","10","0","0","197","93","4","0","0","45","24.742900","62","42.602900"
"360.","1715","Лесковац","Пчињски управни округ","Босилеград","Босилеград","Гимназија","Георги Димитров 23","17540","gimnbosil@ptt.rs","(017)877360","http://www.sajt.com","7207760","100610497","1941-11-05","Гимназије","Државно","12","0","0","188","107","0","3","0","34","26.658000","42","35.838000"
"361.","1716","Лесковац","Пчињски управни округ","Прешево","Прешево","Гимназија Скендербеу","15. новембра 102","17523","nexhmedin_2006@hotmail.com","(017)668655","http://www.gjimnaziskenderbeu.eu/","7179324","100953002","1990-08-01","Гимназије","Државно","29","0","0","734","416","0","0","0","84","55.645800","100","73.145800"
"362.","1717","Лесковац","Пчињски управни округ","Прешево","Прешево","Средња техничка школа Прешево","15. новембра 102","17523","shmtpr@hotmail.com","(017)669130","http://www.presheva.edu.rs","7585527","100953019","1990-07-10","Средње стручне школе","Државно","23","0","0","615","234","0","0","0","109","75.475000","132","98.975000"
"363.","1718","Лесковац","Пчињски управни округ","Трговиште","Трговиште","Средња стручна школа Милутин Бојић","15. септембар бб","17525","skolausmobr-trg@mts.rs","(017)452104","http://sssetmb.nasaskola.rs","7284314","101465791","1979-09-01","Средње стручне школе","Државно","4","0","0","69","41","0","5","0","18","8.766800","21","14.396800"
"364.","1721","Ниш","Топлички управни округ","Прокупље","Прокупље","Медицинска школа Др. Алекса Савић","Ратка Павловића 20","18400","medicskola@mts.rs","(027)329093","http://medicinskapk.edu.rs","7600739","100413574","1960-03-22","Средње стручне школе","Државно","16","0","0","471","352","0","0","0","71","42.622700","84","57.122700"
"365.","1722","Ниш","Топлички управни округ","Прокупље","Прокупље","Техничка школа 15.мај","Ратка Павловића 194","18400","ts15maj@mts.rs","(027)329252","http://www.ts15maj.edu.rs","7271310","102133314","1964-03-30","Средње стручне школе","Државно","22","0","0","564","135","0","0","4","69","48.777700","87","66.155300"
"366.","1723","Ниш","Топлички управни округ","Прокупље","Прокупље","Пољопривредна школа Радош Јовановић Сеља","Вука Караџића 1","18400","poljopskolapk@gmail.com","(027)331213","http://poljoprivrednaskolapk.edu.rs","7271328","100257535","1927-08-03","Средње стручне школе","Државно","12","0","0","301","132","11","2","0","54","41.155400","76","63.155400"
"367.","1726","Ниш","Нишавски управни округ","Алексинац","Алексинац","Алексиначка гимназија","др Тихомира Ђорђевића бб","18220","alexgim@mts.rs","(018)804832","http://alexgim.rs","7106947","100304490","1865-06-09","Гимназије","Државно","16","0","0","400","233","1","0","0","42","30.655300","55","45.124700"
"368.","1727","Ниш","Нишавски управни округ","Алексинац","Алексинац","Техничка школа Прота Стеван Димитријевић","др Тихомира Ђорђевића бб","18220","tehskolaal@mts.rs","(018)800068","http://tehskolaal.edu.rs","7106912","100303430","1965-12-22","Средње стручне школе","Државно","23","0","0","671","243","1","5","0","75","52.572200","96","76.072200"
"369.","1728","Ниш","Нишавски управни округ","Алексинац","Алексинац","Биотехнолошка школа Шуматовац","Тихомира Ђорђевића бб","18220","polskol@medianis.net","(018)800792","http://www.sumatovac.edu.rs","7600780","100303067","1990-06-15","Средње стручне школе","Државно","11","0","0","189","82","5","11","0","38","25.638900","52","38.638900"
"370.","1729","Ниш","Нишавски управни округ","Сврљиг","Сврљиг","Стручна школа Душан Тривунац Драгош","Гордане Тодоровић 2","18360","ssdtd@mts.rs","18821010","http://www.ssdtd.edu.rs","7339941","101007948","1985-04-25","Средње стручне школе","Државно","11","0","0","226","93","2","2","0","36","21.883000","44","32.103000"
"371.","1730","Ниш","Нишавски управни округ","Ниш - Медијана","Ниш (Медијана)","Прва нишка гимназија Стеван Сремац","Вожда Карађорђа 27","18000","ssremac@medianis.net","(018)527622","http://www.sremac.edu.rs","7174659","101532998","1878-09-27","Гимназије","Државно","25","0","25","699","426","1","0","0","72","55.061000","83","68.561000"
"372.","1731","Ниш","Нишавски управни округ","Ниш - Медијана","Ниш (Медијана)","Гимназија Бора Станковић","Вожда Карађорђа 27","18100","gimnazija@borastankovic.edu.rs","(018)522044","http://www.borastankovic.edu.rs","7174667","101858198","1969-06-17","Гимназије","Државно","30","0","0","819","404","0","0","0","77","60.320900","92","75.320900"
"373.","1732","Ниш","Нишавски управни округ","Ниш - Палилула","Ниш (Палилула)","Гимназија Светозар Марковић","Бранка Радичевића 1","18106","gsm@gsm-nis.edu.rs","(018)254396","http://www.gsm-nis.edu.rs","7215312","100665453","1991-04-08","Гимназије","Државно","37","0","0","912","518","0","0","0","125","77.561600","145","100.061600"
"374.","1733","Ниш","Нишавски управни округ","Ниш - Медијана","Ниш (Медијана)","Гимназија Девети мај","Јеронимова 18","18100","gim9majnis@gmail.com","(018)257088","http://www.9maj.edu.rs","7282516","100334116","1979-07-01","Гимназије","Државно","27","0","0","758","383","0","0","0","72","52.944300","84","66.427600"
"375.","1734","Ниш","Нишавски управни округ","Ниш - Медијана","Ниш (Медијана)","Економска школа","Мајаковског 2","18000","sekretar.ekosknis@gmail.com","(018)237976","http://www.esn.edu.rs","7222149","100619576","1929-05-23","Средње стручне школе","Државно","37","0","0","958","631","0","0","0","95","72.000000","121","100.022200"
"376.","1735","Ниш","Нишавски управни округ","Ниш - Медијана","Ниш (Медијана)","Правно-пословна школа","Трг краља Милана 8","18100","abskola@mts.rs","(018)526957","http://abskolanis.blogspot.com","17008951","100502172","1994-10-28","Средње стручне школе","Државно","24","0","0","719","503","0","0","0","69","51.789200","83","67.289200"
"377.","1736","Ниш","Нишавски управни округ","Ниш - Медијана","Ниш (Медијана)","Трговинска школа","Мајаковског 2","18000","trgovinskaskolanis@yahoo.com","(018)235392","http://trgovinskaskolanis.edu.rs/","7222122","101533097","1893-05-06","Средње стручне школе","Државно","15","0","0","366","212","0","5","0","55","34.227500","71","50.227500"
"378.","1737","Ниш","Нишавски управни округ","Ниш - Медијана","Ниш (Медијана)","Угоститељско-туристичка школа","Мајаковског 2","18000","ugturs@medianis.net","(018)233830","http://utsnis.edu.rs","7222114","100619584","1991-08-15","Средње стручне школе","Државно","23","0","0","629","319","3","9","0","76","55.460500","93","74.610500"
"379.","1738","Ниш","Нишавски управни округ","Ниш - Медијана","Ниш (Медијана)","Медицинска школа Др Миленко Хаџић","Зетска 55","18000","medicinskaskolanis@mts.rs","(018)530508","http://www.medicinskanis.edu.rs","7216106","102141648","1947-11-27","Средње стручне школе","Државно","32","0","0","966","754","0","3","0","89","74.583400","110","98.013400"
"380.","1741","Ниш","Нишавски управни округ","Ниш - Палилула","Ниш (Палилула)","Машинска школа","Шумадијска 1a","18106","masinskaskolanis@gmail.com","(018)4263100","http://www.masinskanis.com","7214596","100662856","1923-09-01","Средње стручне школе","Државно","13","0","0","297","65","0","2","0","46","30.981000","64","47.781000"
"381.","1742","Ниш","Нишавски управни округ","Ниш - Црвени Крст","Ниш (Црвени Крст)","Електротехничка школа Никола Тесла","Александра Медведева 18","18000","etstesla@etstesla.ni.ac.rs","(018)588583","http://www.etstesla.ni.ac.rs","7274360","101859168","1989-06-02","Средње стручне школе","Државно","29","0","0","832","58","0","0","0","90","76.182800","113","99.932800"
"382.","1743","Ниш","Нишавски управни округ","Ниш - Медијана","Ниш (Медијана)","Електротехничка школа Мија Станимировић","Булевар Цара Константина 82-86","18116","etsms@medianis.net","(018)550022","http://www.etsmijastanimirovic.edu.rs","7274351","100502324","1949-08-01","Средње стручне школе","Државно","28","0","0","806","69","1","4","0","99","75.677900","115","94.927900"
"383.","1744","Ниш","Нишавски управни округ","Ниш - Црвени Крст","Ниш (Црвени Крст)","Грађевинска техничка школа Неимар","Београдска 18","18000","gtsneimar@gmail.com","(018)251063","http://www.gtsneimar.edu.rs","7174675","101859125","1939-09-25","Средње стручне школе","Државно","17","0","0","396","128","0","0","0","55","40.011100","73","59.511100"
"384.","1745","Ниш","Нишавски управни округ","Ниш - Медијана","Ниш (Медијана)","Прехрамбено-хемијска школа","Генерала Милојка Лешјанина 23","18100","skola@phsnis.edu.rs","(018)245645","http://www.phsnis.edu.rs","7288476","100666403","1935-09-01","Средње стручне школе","Државно","20","0","0","436","256","5","7","3","62","47.573600","74","61.073600"
"385.","1746","Ниш","Нишавски управни округ","Ниш - Медијана","Ниш (Медијана)","Школа моде и лепоте","Генерала Милојка Лешјанина 23","18000","skolamode@gmail.com","(018)255477","http://www.skolamodeilepote.com","7288484","101532504","0000-00-00","Средње стручне школе","Државно","16","0","0","382","334","4","19","0","73","46.413800","87","61.413800"
"386.","1747","Ниш","Нишавски управни округ","Ниш - Медијана","Ниш (Медијана)","Уметничка школа","Првомајска 6","18100","umetnickas.nis@gmail.com","(018)523543","http://www.umetnickaskolanis.com","7174632","101524221","1948-08-25","Средње стручне школе","Државно","16","0","0","316","240","1","4","0","63","42.500100","74","56.500100"
"387.","1749","Косовска Митровица","Косовски управни округ","Приштина - град","Лапље Село","Гимназија","Мирјана Драговић б.б","38204","gimnazijapristinals@yahoo.com","(038)3881628","http://gimnazijapristina.edu.rs","9018328","100055446","1913-10-17","Гимназије","Државно","8","0","0","155","99","0","0","0","30","19.946400","38","26.446400"
"388.","1751","Косовска Митровица","Косовски управни округ","Приштина - град","Грачаница","Медицинска школа","Краља Милутина бб.","38100","medicinska.skola.gr@gmail.com","3865220","http://medicinska.skola.gr","9018310","100055850","1962-05-31","Средње стручне школе","Државно","16","0","0","336","223","0","0","0","85","52.473800","107","74.973800"
"389.","1752","Косовска Митровица","Косовски управни округ","Приштина - град","Грачаница","Грађевинско-саобраћајна школа","Грачаница б.б","38205","gss.gracanica@gmail.com","3865292","http://www.sajt.com","9018301","101464055","1963-03-25","Средње стручне школе","Државно","11","0","0","144","2","0","0","0","44","33.659800","61","51.659800"
"390.","1753","Косовска Митровица","Косовски управни округ","Приштина - град","Сушица","Електротехничка школа Михајло Пупин","Патријарха Павла бб","38205","ets.miladinpopovic@gmail.com","3865350","http://www.ets.ed.rs","9034692","100055817","2000-01-27","Средње стручне школе","Државно","8","0","0","109","8","0","0","0","46","29.402200","61","45.402200"
"391.","1754","Косовска Митровица","Косовски управни округ","Приштина - град","Преоце","Машинска школа - Приштина","Мирољуба Танасковића - Преоце bb","38204","masinskaskolapre@hotmail.com","(381)3881119","http://www.masinskaskolapr.net","9029141","100055727","1968-09-01","Средње стручне школе","Државно","7","0","0","53","14","0","0","0","32","15.040800","44","25.290800"
"392.","1756","Косовска Митровица","Косовско-митровачки управни округ","Вучитрн","Прилужје","Техничка школа Никола Тесла","Милош Обилића б.б.","38213","tsntobilic@yahoo.com","(028)467556","http://www.tehnickaskolaobilic.com","9018344","101262530","1956-09-01","Средње стручне школе","Државно","11","0","0","74","10","0","0","0","41","22.002700","51","32.502700"
"393.","1760","Косовска Митровица","Косовски управни округ","Липљан","Доња Гуштерица","Пољопривредна школа","Радевачка бб","38232","poljoprivredna.lipljan@gmail.com","3889485","http://","9210903","101262749","1962-10-14","Средње стручне школе","Државно","20","0","0","129","59","0","0","0","77","43.512300","102","66.012300"
"394.","1761","Косовска Митровица","Косовски управни округ","Штрпце","Штрпце","Економско-трговинска школа","Цара Лазара бб","38236","etsjovancvijicsostrpce@gmail.com","(029)070191","NULL","9073728","100056012","1990-10-02","Средње стручне школе","Државно","27","0","0","419","194","0","0","0","99","66.640800","130","97.140800"
"395.","1762","Косовска Митровица","Косовско-митровачки управни округ","Косовска Митровица","Косовска Митровица","Гимназија","Лоле Рибара 29","38220","gimkm@yahoo.com","(028)425334","http://www.gimnazijakm.edu.rs","9028919","101261686","1989-09-01","Гимназије","Државно","15","0","0","287","153","0","0","0","50","34.864600","62","47.364600"
"396.","1763","Косовска Митровица","Косовско-митровачки управни округ","Косовска Митровица","Косовска Митровица","Економско-трговинска школа","Иве Лоле Рибара 27","38220","ekonomska_km@yahoo.com","(028)425335","http://ekonomskakm.edu.rs","9023704","102537406","1994-06-06","Средње стручне школе","Државно","15","0","0","168","113","0","0","0","54","39.922800","68","54.922800"
"397.","1764","Косовска Митровица","Косовско-митровачки управни округ","Косовска Митровица","Косовска Митровица","Медицинска школа","Дрварска 1","38220","medskolakm@yahoo.com","(028)498395","http://www.medicinskakm.com","9023674","101465654","1947-09-15","Средње стручне школе","Државно","20","0","0","523","307","0","0","0","90","72.462700","125","106.962700"
"398.","1765","Косовска Митровица","Косовско-митровачки управни округ","Косовска Митровица","Косовска Митровица","Техничка школа Михаило Петровић Алас","Лоле Рибара 29","38220","tsalaskm@yahoo.com","(028)425333","http://tsalaskm.com","9023712","101981812","1946-07-31","Средње стручне школе","Државно","22","0","0","269","31","0","0","0","60","51.868900","78","71.868900"
"399.","1767","Косовска Митровица","Косовско-митровачки управни округ","Звечан","Звечан","Средња школа","Нушићева 7","38227","ss_graf_zvecan@yahoo.com","(028)664064","http://ss-graf-zvecan.edu.yu","9052780","100018013","1989-05-15","Средње стручне школе","Државно","15","0","0","257","142","1","1","0","55","38.199200","70","53.629200"
"400.","1768","Косовска Митровица","Косовско-митровачки управни округ","Лепосавић","Лепосавић","Средња школа Никола Тесла","Немањина 29а","38218","tsnikolateslaleposavic@hotmail.com","(028)2883562","http://www.ssnikolateslaleposavic.edu.rs","9021388","101262351","1962-05-16","Средње стручне школе","Државно","19","0","0","285","118","0","0","0","60","47.717200","82","69.117200"
"401.","1769","Косовска Митровица","Косовско-митровачки управни округ","Зубин Поток","Зубин Поток","Средња школа Григорије Божовић","Јелене Анжујске 17","38228","ssgrigorijebozoviczp@nasaskola.rs","(028)460108","http://www.ssgrigorijebozovic.nasaskola.rs","9047689","101526563","1987-08-12","Средње стручне школе","Државно","15","0","0","212","113","0","1","0","49","34.240900","66","51.740900"
"402.","1770","Ранилуг","Косовско-поморавски управни округ","Гњилане","Шилово","Гимназија","Шилово бб","38252","gimnazija.stojanovic@gmail.com","(0280)310115","http://www.sajt.com","9003436","100055366","1919-04-01","Гимназије","Државно","12","0","0","165","75","0","0","0","55","26.900800","70","40.400800"
"403.","1771","Ранилуг","Косовско-поморавски управни округ","Гњилане","Горње Кусце","Техничка школа Драги Поповић","Горње Кусце б.б","38250","tsdragipopovic@yahoo.com","28077206","http://bisnode.rs tehnicka-skola dragi-popovic","9003444","100055358","0000-00-00","Средње стручне школе","Државно","17","0","0","105","16","0","0","0","66","39.291900","104","66.491900"
"404.","1772","Ранилуг","Косовско-поморавски управни округ","Косовска Каменица","Косовска Каменица","Гимназија","Цара Лазара бб","38260","gimnazijakk@gmail.com","(0280)372499","http://WWW.nema","9233881","100018361","2016-08-30","Гимназије","Државно","12","0","0","96","57","0","0","0","41","25.634000","53","37.294000"
"405.","1773","Ранилуг","Косовско-поморавски управни округ","Косовска Каменица","Косовска Каменица","Техничка школа","Цара Лазара бб","38260","tehskola@yahoo.com","(0280)372498","NULL","9233890","100018224","1969-09-01","Средње стручне школе","Државно","3","0","0","15","7","0","0","0","54","32.955000","71","49.955000"
"406.","1774","Ранилуг","Косовско-поморавски управни округ","Витина","Врбовац","Техничка школа","Димитријева ББ","38267","tsvrbovac@gmail.com","(0280)381017","http://nema.com","9001743","101920333","2004-01-21","Средње стручне школе","Државно","5","0","0","60","25","0","0","0","17","10.125800","31","23.125800"
"407.","1775","Косовска Митровица","Призренски управни округ","Гора","Драгаш","Економско-трговинска школа","Село Млике бб","38420","etsgora@hotmail.com","(044)400827","http://www.etsgora.edu.rs","9004599","104757876","2006-12-26","Средње стручне школе","Државно","12","0","0","145","66","0","0","0","21","23.080100","28","30.080100"
"408.","1776","Косовска Митровица","Призренски управни округ","Ораховац","Ораховац","Гимназија Ораховац","Видовданска бб","38430","gimnazijaorahovac1@gmail.com","(029)277919","http://gimnazijaorahovac.com","9011587","101940268","2003-09-02","Гимназије","Државно","4","0","0","18","8","0","1","0","15","8.593500","22","14.343500"
"409.","1777","Косовска Митровица","Пећки управни округ","Пећ","Гораждевац","Гимназија","Гораждевац ББ","38310","skolagorazdevac@hotmail.com","39467313","http://","9047891","101942069","1999-09-13","Гимназије","Државно","7","0","0","22","11","0","1","0","31","15.357100","43","26.357100"
"410.","1778","Косовска Митровица","Пећки управни округ","Пећ","Гораждевац","Економска школа","NULL","38310","skolagorazdevac@hotmail.com","39467313","http://","9047891","101942069","0000-00-00","Средње стручне школе","Државно","2","0","0","3","0","0","0","0","11","3.232200","11","3.232200"
"411.","1779","Косовска Митровица","Пећки управни округ","Пећ","Гораждевац","Машинско-електротехничка школа","Гораждевац","38300","skolagorazdevac@hotmail.com","39467313","http://","9047891","NULL","0000-00-00","Средње стручне школе","Државно","0","0","0","0","0","0","0","0","0","0.000000","0","0.000000"
"412.","1780","Београд","Град Београд","Београд - Звездара","Београд (Звездара)","Геодетска техничка школа","Милана Ракића 42","11000","geodetskabg@gmail.com","(011)2411880","http://geodetska.edu.rs","7004826","101721861","1973-12-19","Средње стручне школе","Државно","20","0","0","529","207","2","0","0","52","46.340000","65","61.140000"
"413.","1781","Крагујевац","Шумадијски управни округ","Крагујевац - град","Крагујевац","Економска школа","Радоја Домановића 6","34000","ekonomkrag@verat.net","(034)304085","https://www.ekonomska.edu.rs","7150105","101319991","1943-11-09","Средње стручне школе","Државно","20","0","0","605","441","2","2","0","53","43.481400","66","56.481400"
"414.","1782","Ваљево","Колубарски управни округ","Уб","Уб","Техничка школа Уб","Вука Караџића 15","14210","skolaub@mts.rs","(014)411149","http://www.srednjaub.rs","7258135","101351130","1977-12-14","Средње стручне школе","Државно","21","0","0","587","245","4","3","0","57","39.760000","70","53.780000"
"415.","1784","Ужице","Златиборски управни округ","Ужице - град","Ужице","Уметничка школа","Велики парк 3","31000","eduart@mts.rs","(031)513095","http://www.umetnicka-skola-uzice.edu.rs","17434900","101503549","2002-04-25","Средње стручне школе","Државно","7","8","0","82","67","0","0","0","32","18.690000","38","25.790000"
"416.","1786","Зрењанин","Севернобанатски управни округ","Сента","Сента","Средња медицинска школа","Главни трг 12","24400","medicinska_senta@mts.rs","(024)817177","http://www.medicinska-senta.edu.rs","8791414","102975494","2003-04-22","Средње стручне школе","Државно","12","0","0","322","268","0","0","0","53","31.312800","64","41.812800"
"417.","1787","Крушевац","Расински управни округ","Брус","Брус","Средња школа","Братиславе Петровић 69","37220","srskolabrus@mts.rs","(037)3825167","http://www.skolabrus.edu.rs","17501321","102898072","1963-03-29","Средње стручне школе","Државно","20","0","0","371","188","0","3","0","46","38.335600","60","54.435600"
"418.","1789","Краљево","Рашки управни округ","Нови Пазар - град","Нови Пазар","Медицинска школа","Косанчићева бб","36300","msnp@verat.net","(020)332980","http://medicinskadvaherojanp.nasaskola.rs/","17686518","105175950","2007-04-19","Средње стручне школе","Државно","25","0","0","759","565","0","0","0","86","68.688100","102","86.688100"
"419.","1790","Крагујевац","Шумадијски управни округ","Кнић","Кнић","Средња школа Добрица Ерић","Војводе Стевана Книћанина 174","34240","msknic@mts.rs","(034)511063","http://www.srednjaskolaknic.nasaskola.rs","7124686","100819880","1960-12-17","Средње стручне школе","Државно","10","0","0","243","108","3","5","0","36","21.920000","45","32.420000"
"420.","1792","Београд","Град Београд","Београд - Стари Град","Београд (Стари Град)","Спортска гимназија","Херцега Стјепана 7","11000","sportskagimnazija@yahoo.com","(011)2650754","https://www.sportskagimnazija.edu.rs","17411349","100124773","2002-04-25","Гимназије","Државно","26","0","0","736","335","0","0","0","58","47.910000","73","64.410000"
"421.","1793","Београд","Град Београд","Београд - Звездара","Београд (Звездара)","Седма београдска гимназија","Шејкина 21а","11160","info@sedmagimnazija.com","7433642","http://www.sedmagimnazija.com","17409336","100032938","2002-04-24","Гимназије","Државно","28","0","0","779","443","1","6","0","63","50.392200","80","67.952200"
"422.","1794","Зрењанин","Севернобанатски управни округ","Сента","Сента","Гимназија са домом ученика за талентоване ученике Бољаи","Поштанска 18","24400","bolyai@bolyai-zenta.edu.rs","(024)816700","http://www.bolyai-zenta.edu.rs","8787271","102923123","2003-04-22","Средње стручне школе","Државно","11","0","0","200","103","0","0","0","43","28.871700","60","53.371700"
"423.","1796","Сомбор","Севернобачки управни округ","Суботица - град","Суботица","Гимназија за талентоване ученике Деже Костолањи","Трг жртава фашизма 21","24000","office@tg.edu.rs","(024)670860","http://www.tg.edu.rs","8787280","102879350","2003-04-22","Гимназије","Државно","12","0","0","242","174","0","0","0","45","33.834300","55","45.334300"
"424.","1797","Београд","Град Београд","Београд - Звездара","Београд (Звездара)","Фармацеутско - физиотерапеутска школа","Донска 27-29","11000","farmafizio@sbb.rs","(011)3047814","http://www.farmafizio.edu.rs","17482076","102830030","2003-04-10","Средње стручне школе","Државно","27","0","0","781","575","5","16","0","78","70.050000","94","87.550000"
"425.","1798","Чачак","Моравички управни округ","Чачак - град","Чачак","Прехрамбено-угоститељска школа","Стоје Тошић 23","32000","direktor.pus@gmail.com","(032)334901","http://prehrambeno-ugostiteljska.edu.rs","17502735","102932664","2003-04-10","Средње стручне школе","Државно","23","0","0","567","374","4","12","0","70","55.410000","86","74.350000"
"426.","1799","Косовска Митровица","Косовски управни округ","Приштина - град","Лапље Село","Економско-трговинска школа Приштина","Мирјана Драговић бб","38204","et_skola_pristina@yahoo.com","3881627","NULL","9018387","101262757","1961-05-28","Средње стручне школе","Државно","16","0","0","208","140","0","0","0","53","34.435100","65","46.185100"
"427.","1804","Косовска Митровица","Косовско-митровачки управни округ","Србица","Суво Грло","Техничка школа","Суво Грло бб","38334","ts_srbica@yahoo.com","(064)3360391","NULL","9020772","102475377","1994-06-06","Средње стручне школе","Државно","4","0","0","13","7","0","0","0","15","9.321500","27","19.923700"
