"#","ИД установе","Школска управа","Округ","Општина","Насеље","Назив установе","Адреса","Поштански број","Адреса електронске поште","Телефон","Сајт","Матични број","ПИБ","Датум оснивања","Примарна делатност","Власништво","Број одељења","Број комбинованих одељења","Број специјалних одељења","Број ученика","Број девојчица","Број ученика - ИОП 1","Број ученика - ИОП 2","Број ученика - ИОП 3","Број наставника - без замена","Укупна норма наставникаа - без замена","Број запослених - без замена","Укупна норма запослених- без замена"
"895.","933","Лесковац","Пчињски управни округ","Врањска Бања","Корбевац","Краљ Петар И Ослободилац","Корбевац бб.","17545","oskorbevac@gmail.com","17448502","http://","7138890","100406253","1978-04-02","Основна школа","Државно","16","0","0","96","45","5","1","0","33","25.808800","45","37.008800"
"896.","934","Лесковац","Пчињски управни округ","Врањска Бања","Врањска Бања","Предраг Девеџић","Краља Петра I 44","17542","ospdevedzic@yahoo.com","(017)7455218","http://www.skola-vranjskabanja.edu.rs","7137931","100406399","1950-07-28","Основна школа","Државно","28","0","0","524","269","2","0","0","54","39.572200","77","63.072200"
"897.","935","Лесковац","Пчињски управни округ","Врање","Врање","Радоје Домановић","Партизански пут 3","17501","osradoje@mts.rs","(017)421593","http://www.osradojevr.edu.rs","7138920","102067565","1971-10-06","Основна школа","Државно","35","0","0","918","447","8","3","0","58","50.394400","76","68.844400"
"898.","936","Лесковац","Пчињски управни округ","Врање","Врање","Јован Јовановић Змај","Јужноморавска 9","17500","zmajvranje@gmail.com","(017)421602","http://jjzmajvranje.edu.rs","7138814","100550557","1961-08-08","Основна школа","Државно","27","0","0","603","312","32","6","0","52","40.327600","71","58.327600"
"899.","937","Лесковац","Пчињски управни округ","Врање","Врање","Вук Караџић","Пионирска 5","17500","osvukvr@gmail.com","(017)423583","http://www.vukskola.edu.rs","7137940","100553990","1952-08-07","Основна школа","Државно","43","0","0","1114","533","19","13","0","79","62.622200","103","87.122200"
"900.","938","Лесковац","Пчињски управни округ","Врање","Врање","Светозар Марковић","Француска бб","17500","osmarkovic@yahoo.com","(017)411623","http://www.osmarkovicvranje.edu.rs","7330162","100548681","1983-06-15","Основна школа","Државно","33","0","0","739","370","0","2","0","69","47.733100","92","69.183100"
"901.","939","Чачак","Моравички управни округ","Чачак - град","Атеница","Свети Сава","др Драгише Мишовића 245","32000","sveti.sava_os@mts.rs","(032)366094","http://www.ossvetisavacacak.edu.rs","7182660","101114223","1964-12-25","Основна школа","Државно","32","0","0","778","357","30","3","0","60","49.760000","80","71.260000"
"902.","940","Чачак","Моравички управни округ","Чачак - град","Горња Горевница","Степа Степановић","Горња Горевница бб","32205","stepastepanovic@mts.rs","(032)5880420","http://www.osstepastepanovic.edu.rs","7182651","102047720","1978-12-08","Основна школа","Државно","11","0","0","164","87","2","2","0","24","15.072100","35","24.912100"
"903.","941","Чачак","Моравички управни округ","Чачак - град","Чачак","Танаско Рајић","Алексија Миленковића 5","32103","tanaskor@mts.rs","(032)355283","http://www.tanaskorajic.edu.rs","7182546","101886055","1960-09-20","Основна школа","Државно","45","0","0","1059","491","11","11","0","72","64.867700","96","88.367700"
"904.","942","Чачак","Моравички управни округ","Чачак - град","Чачак","Филип Филиповић","Светозара Марковића 68","32000","os.filipfilipovic@mts.rs","(032)322303","http://www.osfilipfilipovicca.edu.rs","7182015","101290584","1955-08-30","Основна школа","Државно","30","0","0","733","379","1","6","0","51","40.210000","72","60.430000"
"905.","943","Чачак","Моравички управни округ","Чачак - град","Прељина","Прељина","Драгана Бојовића 31","32212","os.preljina@mts.rs","(032)381005","http://osnovnaskolapreljina.org.rs","7181663","101552160","1978-05-30","Основна школа","Државно","22","0","0","367","157","6","1","0","37","31.594300","56","51.094300"
"906.","944","Чачак","Моравички управни округ","Чачак - град","Слатина","Бранислав Петровић","Слатина бб","32224","os-slatina@mts.rs","(032)826308","http://os-branislavpetrovic.edu.rs","7182619","102048185","1974-01-17","Основна школа","Државно","17","0","0","289","126","3","0","0","34","26.220000","49","40.220000"
"907.","945","Чачак","Моравички управни округ","Чачак - град","Бресница","Ђенерал Марко Ђ. Катанић","Бресница bb","32213","skolabresnica@mts.rs","(032)804107","http://www.skolabresnica.edu.rs","7182589","101290744","1973-12-27","Основна школа","Државно","8","0","0","94","44","2","0","0","19","10.822100","28","18.322100"
"908.","946","Чачак","Моравички управни округ","Чачак - град","Доња Трепча","22. децембар","Доња Трепча бб","32215","skolatrepca@mts.rs","(032)824410","http://www.os22decembar.edu.rs","7182031","100891426","1897-09-01","Основна школа","Државно","8","0","0","60","31","1","1","0","19","11.922100","30","20.272100"
"909.","947","Чачак","Моравички управни округ","Чачак - град","Пријевор","Божо Томић","Пријевор бб","32205","os.bozotomic@mts.rs","(032)883311","http://www.osbozotomic.edu.rs","7206003","101108209","1928-09-01","Основна школа","Државно","12","0","0","131","71","3","2","0","27","16.969900","38","27.469900"
"910.","948","Крушевац","Расински управни округ","Александровац","Александровац","Аца Алексић","Јаше Петровића 6","37230","osacaaleksic@mts.rs","(037)3552151","http://www.aca-aleksic.edu.rs","7100060","100386684","1944-09-01","Основна школа","Државно","57","0","0","779","405","4","18","0","91","83.824400","138","129.484400"
"911.","949","Крушевац","Расински управни округ","Александровац","Александровац","Иво Лола Рибар","Крушевачка 16","37230","ivololaribaraleksandrovac@gmail.com","(037)3552353","http://www.osivololaribarac.edu.rs","7336063","100363699","1984-09-01","Основна школа","Државно","53","0","0","705","324","6","2","0","88","75.360000","131","121.360000"
"912.","950","Крушевац","Расински управни округ","Брус","Блажево","Вук Караџић","Блажево бб","37226","skolablazevo@open.telekom.rs","(037)475307","http://osvukkaradzicblazevo.nasaskola.rs","7099690","101140319","1964-02-28","Основна школа","Државно","8","0","0","32","15","0","0","0","22","10.967700","34","20.043300"
"913.","951","Крушевац","Расински управни округ","Брус","Брус","Јован Јовановић Змај","Братиславе Петровић 69","37220","oszmaj@ptt.rs","(063)622877","http://oszmajbrus.edu.rs","7292333","101142349","1848-09-01","Основна школа","Државно","50","0","0","695","339","7","7","0","85","69.361000","126","111.016600"
"914.","952","Крушевац","Расински управни округ","Брус","Разбојна","Бранко Радичевић","Разбојна бб","37223","osbradicevic@ptt.rs","(037)832272","http://osbrankoradicevicrazbojna.nasaskola.rs","7099703","101140685","1964-02-28","Основна школа","Државно","17","0","0","147","64","0","3","0","33","22.222100","47","37.222100"
"915.","953","Крушевац","Расински управни округ","Брус","Влајковци","Први мај","Нема улице бб","37220","majvlajkovci@yahoo.com","(037)3830233","http://www.osprvimaj.edu.rs/","7292341","101142357","1921-05-01","Основна школа","Државно","9","0","0","59","24","1","0","0","23","11.772100","31","19.177100"
"916.","954","Крушевац","Расински управни округ","Варварин","Бачина","Свети Сава","Маршала Тита бб","37265","os_bacina@ptt.rs","(037)794416","http://www.nemamosajt.com","7175663","101144844","1842-08-31","Основна школа","Државно","12","0","0","168","73","2","5","0","23","19.322100","36","30.822100"
"917.","955","Крушевац","Расински управни округ","Варварин","Варварин","Јован Курсула","Светог Саве 6","37260","skolavarvarin@gmail.com","(037)788339","http://osjovankursula.nasaskola.rs","7175655","101144586","1964-06-26","Основна школа","Државно","21","0","0","402","209","6","5","0","37","30.161000","51","42.801000"
"918.","956","Крушевац","Расински управни округ","Варварин","Доњи Крчин","Херој Мирко Томић","Крагујевачки друм бб","37258","skolakrcin@gmail.com","(037)3795180","http://www.skolakrcin.edu.rs","7175698","101144543","1876-04-16","Основна школа","Државно","19","0","0","168","85","4","11","0","31","25.505500","48","40.985500"
"919.","957","Крушевац","Расински управни округ","Варварин","Бошњане","Драги Макић","Вук Караџић 1","37262","dragimakicbosnjane@gmail.com","(037)798655","http://osnovneskole.net","7175647","101144463","1964-06-26","Основна школа","Државно","10","0","0","131","60","6","0","0","24","15.523300","34","24.923300"
"920.","958","Крушевац","Расински управни округ","Варварин","Обреж","Мирко Томић","Мирка Томића 12","37266","osmirtom@yahoo.com","(037)790120","http://www.osmirkotomic.edu.rs","7176724","101144406","1842-11-13","Основна школа","Државно","10","0","0","142","70","8","9","0","26","15.505600","34","23.400000"
"921.","959","Крушевац","Расински управни округ","Крушевац - град","Коњух","Брана Павловић","Коњух bb","37254","skolakonjuh@gmail.com","(037)3875103","http://oskonjuh.rs","7102801","100474419","1991-09-26","Основна школа","Државно","19","0","0","223","109","0","4","0","34","25.267500","49","38.807500"
"922.","960","Крушевац","Расински управни округ","Крушевац - град","Бивоље","Бранко Радичевић","Бранка Радичевића 12","37000","brankorks@gmail.com","(037)438347","http://www.branko.edu.rs","7102755","100474630","1963-10-08","Основна школа","Државно","23","0","0","409","186","4","9","0","44","33.162200","60","48.162200"
"923.","961","Крушевац","Расински управни округ","Крушевац - град","Падеж","Васа Пелагић","Падеж 37257","37257","svpelagicpadez@gmail.com","37696207","http://osvasa.edu.rs","7709048","100477626","1991-10-10","Основна школа","Државно","14","0","0","180","88","3","3","0","31","18.572100","42","28.772100"
"924.","962","Крушевац","Расински управни округ","Крушевац - град","Велики Шиљеговац","Велизар Станковић Корчагин","Велики Шиљеговац бб","37204","skola_vsk@live.com","(037)852400","http://www.skolasiljegovac.org.rs/","7194340","100319797","1991-08-07","Основна школа","Државно","38","0","0","438","191","8","5","0","61","51.494500","92","78.484500"
"925.","963","Крушевац","Расински управни округ","Крушевац - град","Паруновац","Владислав Савић Јан","Димитрија Туцовића 3","37201","osjan@ptt.rs","(037)886155","http://osjan.edu.rs","7102933","100472052","1969-02-26","Основна школа","Државно","24","0","0","370","183","5","6","0","40","33.461100","59","51.837000"
"926.","964","Крушевац","Расински управни округ","Крушевац - град","Крушевац","Вук Караџић","Југовићева 11","37000","osvuk.ks@gmail.com","(037)447410","http://www.osvukks.edu.rs","7102895","100322215","1964-09-05","Основна школа","Државно","44","0","0","1006","402","11","4","0","67","59.987600","88","80.987600"
"927.","965","Крушевац","Расински управни округ","Крушевац - град","Крушевац","Доситеј Обрадовић","Војислава Илића 5","37000","osdositejks@yahoo.com","447300","http://www.osdositej.edu.rs","7102879","100229484","1852-08-06","Основна школа","Државно","36","0","0","869","430","25","7","0","62","54.298900","83","72.938900"
"928.","966","Крушевац","Расински управни округ","Крушевац - град","Крушевац","Драгомир Марковић","Ћирила и Методија 3","37000","dragomir_markovic@yahoo.com","(037)446890","http://www.osdm.edu.rs","7102887","100480438","1861-02-01","Основна школа","Државно","47","0","0","1127","544","0","23","0","82","66.091000","104","90.480500"
"929.","967","Крушевац","Расински управни округ","Крушевац - град","Јасика","Станислав Бинички","Станислава Биничког бб","37252","skolajasika@gmail.com","(037)671103","http://osstanislavbinicki.edu.rs","7102763","100474226","1991-07-12","Основна школа","Државно","24","0","0","356","170","4","4","0","42","33.460000","59","51.360000"
"930.","968","Крушевац","Расински управни округ","Крушевац - град","Мудраковац","Јован Јовановић Змај","Блаже Думовића 66","37000","osjjzmajks@gmail.com","(037)3421521","http://www.jjzmajks.co.rs","7102909","100473527","1963-10-08","Основна школа","Државно","29","0","0","600","266","12","15","0","49","41.833100","67","59.923100"
"931.","969","Крушевац","Расински управни округ","Крушевац - град","Крушевац","Јован Поповић","Балканска 56","37000","osjpopovic@gmail.com","(037)448050","http://www.osjovanpopovic.edu.rs","7102852","100472132","1951-08-20","Основна школа","Државно","32","0","0","837","409","2","6","0","58","47.888700","78","67.888700"
"932.","970","Крушевац","Расински управни округ","Крушевац - град","Велики Купци","Кнез Лазар","- Без броја","37222","skolakupci@gmail.com","(037)884105","http://www.skolakupci.edu.rs","7102836","100315548","1991-10-10","Основна школа","Државно","15","0","0","198","90","2","4","0","32","21.210000","42","31.745000"
"933.","971","Крушевац","Расински управни округ","Крушевац - град","Крушевац","Нада Поповић","Ломничке борбе 7","37000","nadapopovicks1@gmail.com","(037)3547610","http://nadapopovic.edu.rs","7102844","100315302","1963-10-08","Основна школа","Државно","49","0","0","1314","675","6","7","0","90","71.996900","111","95.166900"
"934.","972","Крушевац","Расински управни округ","Крушевац - град","Горњи Степош","Деспот Стефан","Горњи Степош бб","37221","skolastepos@gmail.com","(037)655335","http://www.osdespotstefangornjistepos.weebly.com","7705590","100322299","1991-10-10","Основна школа","Државно","20","0","0","250","111","7","5","0","31","26.305600","45","39.455600"
"935.","973","Крушевац","Расински управни округ","Крушевац - град","Читлук","Свети Сава","Цара Лазара 491A","37208","ossvsava@ptt.rs","(037)692695","http://www.ossvetisavacitluk.weebly.com","7607229","102039763","1990-09-27","Основна школа","Државно","25","0","0","403","172","11","2","0","45","35.416600","62","52.186600"
"936.","974","Крушевац","Расински управни округ","Крушевац - град","Дворане","Страхиња Поповић","-- --","37206","skoladvorane@gmail.com","(037)3698104","http://www.strahinja.edu.rs","7102704","100479386","1969-03-23","Основна школа","Државно","13","0","0","126","60","2","3","0","28","16.822100","39","26.322100"
"937.","975","Крушевац","Расински управни округ","Крушевац - град","Жабаре","Жабаре","Нема назив бб","37233","zabare.os@gmail.com","(037)3882505","http://www.zabac.edu.rs","7102917","100322563","1963-10-08","Основна школа","Државно","18","0","0","217","108","12","9","0","34","25.377700","45","36.674300"
"938.","976","Крушевац","Расински управни округ","Трстеник","Трстеник","Живадин Апостоловић","Кнегиње Милице 41","37240","oszivadinapostolovic@mts.rs","(037)711464","http://www.oszats.edu.rs","7154496","101305162","1964-01-01","Основна школа","Државно","26","0","0","527","266","10","7","0","45","38.160000","62","54.860000"
"939.","977","Крушевац","Расински управни округ","Трстеник","Стопања","Јован Јовановић Змај","нема бб","37242","zmajct@hotmail.com","(037)727497","http://www.os-jjzmaj-stopanja","7154909","101308747","1963-11-27","Основна школа","Државно","20","0","0","224","107","1","0","0","38","26.827800","57","44.584300"
"940.","978","Крушевац","Расински управни округ","Трстеник","Трстеник","Миодраг Чајетинац Чајка","Бранка Радичевића 1","37240","oscajka@gmail.com","(037)711080","http://os-mccajka-trstenik.weebly.com/","7155018","101304692","1960-03-18","Основна школа","Државно","33","0","0","566","236","5","6","0","57","46.166300","83","71.166300"
"941.","979","Крушевац","Расински управни округ","Трстеник","Велика Дренова","Добрица Ћосић","Велика Дренова бб","37245","skoladrenova@ptt.rs","(037)0725110","http://www.osvelikadrenova.nasaskola.rs","7154852","101306796","1964-12-28","Основна школа","Државно","16","0","0","242","112","16","1","0","28","22.644300","40","34.334300"
"942.","980","Крушевац","Расински управни округ","Трстеник","Милутовац","Раде Додић","Милутовац бб","37246","o.s.radedodic@gmail.com","(037)721030","https://osradedodic.wordpress.com","7154879","101306681","1859-09-01","Основна школа","Државно","21","0","0","229","109","4","2","0","36","29.444300","57","49.984300"
"943.","981","Крушевац","Расински управни округ","Трстеник","Трстеник","Свети Сава","Браће Спасојевић бб","37240","ossvetisavats@mts.rs","(037)717410","http://svetisavats.weebly.com","7574070","101304772","1991-06-27","Основна школа","Државно","20","0","0","256","118","2","2","0","42","27.546500","62","45.946500"
"944.","982","Крушевац","Расински управни округ","Трстеник","Доњи Рибник","Кнегиња Милица","Доњи Рибник бб","37243","os.k.milica@gmail.com","(037)731134","http://oskneginjamilica.page.tl","7154895","101304684","1963-03-18","Основна школа","Државно","20","0","0","237","134","0","4","0","36","26.161200","50","39.871200"
"945.","983","Крушевац","Расински управни округ","Трстеник","Медвеђа","Љубивоје Бајић","Медвеђа бб","37244","osljbmedv@ptt.rs","(037)723415","http://osljubivojebajic.vix.com/osljubivojebajic","7154887","101305550","1964-12-28","Основна школа","Државно","11","0","0","145","70","1","1","0","26","17.244200","40","30.344200"
"946.","984","Крушевац","Расински управни округ","Ћићевац","Ћићевац","Доситеј Обрадовић","Ђуре Даничића 6","37210","skoladositejcicevac@gmail.com","(037)812493","http://osdositejcicevac.edu.rs","7175051","101510452","1961-05-29","Основна школа","Државно","23","0","0","435","222","9","11","0","42","32.299900","60","50.039900"
"947.","985","Крушевац","Расински управни округ","Ћићевац","Сталаћ","Војвода Пријезда","Стевана Синђелића 4","37212","osmtomicst@gmail.com","(037)806105","http://osvojvodaprijezda.edu.rs","7175027","101509800","1973-12-25","Основна школа","Државно","10","0","0","130","65","6","1","0","23","13.823200","34","25.323200"
"948.","986","Краљево","Рашки управни округ","Врњачка Бања","Вранеши","Бранко Радичевић","Михаила Петровића Аласа 1","36215","osvranesi@mts.rs","(036)5466263","http://osbrankoradicevic.net","7176368","102167664","1950-06-28","Основна школа","Државно","24","0","0","335","161","4","1","0","46","35.720000","67","58.120000"
"949.","987","Краљево","Рашки управни округ","Врњачка Бања","Ново Село","Бане Миленковић","Банета Миленковића 11","36216","osbanemilenkovic@mts.rs","(036)631825","http://osbanemilenkovic.edu.rs","7176350","100918355","1966-01-31","Основна школа","Државно","15","0","0","293","142","0","2","0","28","21.247700","38","30.747700"
"950.","988","Краљево","Рашки управни округ","Врњачка Бања","Врњачка Бања","Попински борци","Хероја Маричића 12","36210","ospborci@gmail.com","(036)611441","http://ospopinskiborci.edu.rs","7176333","100918816","1990-10-01","Основна школа","Државно","47","0","0","971","458","1","6","0","83","68.115000","113","99.865000"
"951.","989","Краљево","Рашки управни округ","Врњачка Бања","Врњци","Младост","Железничка 26","36217","osmladostvb@mts.rs","(036)631885","http://osmladostvrnjci.edu.rs","7176341","101076034","1966-01-18","Основна школа","Државно","11","0","0","188","88","0","0","0","31","17.327600","41","27.527600"
"952.","990","Краљево","Рашки управни округ","Краљево - град","Краљево","Браћа Вилотијевић","Јована Дерока 2","36000","osbracavilotijevickv@gmail.com","(036)359630","http://www.osbracavilotijevic.edu.rs","7101031","100242666","1972-06-29","Основна школа","Државно","27","0","0","558","284","10","6","0","45","38.260000","71","64.760000"
"953.","991","Краљево","Рашки управни округ","Краљево - град","Краљево","Вук Караџић","Излетничка 10","36103","osvukkaradzic.kv@mts.rs","(036)379700","http://osvukkaradzickv.edu.rs","7100876","101957636","1965-05-05","Основна школа","Државно","47","0","0","970","477","28","19","1","87","67.890000","109","90.540000"
"954.","992","Краљево","Рашки управни округ","Краљево - град","Краљево","Свети Сава","Змај Јовина 1","36103","ossvetisava2020@gmail.com","(036)379400","http://www.skolasvetisava.edu.rs","7102305","101774429","1966-03-17","Основна школа","Државно","22","0","0","483","222","12","10","1","41","32.630000","56","45.330000"
"955.","993","Краљево","Рашки управни округ","Краљево - град","Витановац","Милунка Савић","Витановац bb","36206","osmilunkasavic@gmail.com","(036)871399","http://osmilunkasavic.com","7101023","101071959","1959-12-19","Основна школа","Државно","16","0","0","211","101","3","0","0","29","22.116600","43","34.596600"
"956.","994","Краљево","Рашки управни округ","Краљево - град","Краљево","Димитрије Туцовић","Доситејева 5","36000","dimitrijekv@gmail.com","(036)333669","https://osdimitrijetucovic.wordpress.com","7102313","101257956","1958-06-26","Основна школа","Државно","33","0","0","742","382","45","15","0","61","46.760000","78","64.130000"
"957.","995","Краљево","Рашки управни округ","Краљево - град","Лађевци","Драган Ђоковић Уча","Лађевци бб","36204","dragandjokovicuca@mts.rs","(036)851448","http://www.osladjevci.edu.rs","7100949","100264591","1966-01-24","Основна школа","Државно","19","0","0","241","115","3","3","0","32","25.555600","50","42.455600"
"958.","996","Краљево","Рашки управни округ","Краљево - град","Конарево","Ђура Јакшић","Конарево бб","36340","osdjurajaksic.kv@mts.rs","(036)821992","http://djurajaksic.org.rs","7100922","100244145","1931-09-01","Основна школа","Државно","27","0","0","505","237","5","2","1","49","39.289800","66","55.989800"
"959.","997","Краљево","Рашки управни округ","Краљево - град","Жича","Живан Маричић","Жички пут бб","36221","zicaskola@gmail.com","(036)5817317","http://www.oszivanmaricic.edu.rs","7144440","100264296","1946-04-16","Основна школа","Државно","18","0","0","399","187","7","3","0","36","26.065400","47","37.065400"
"960.","998","Краљево","Рашки управни округ","Краљево - град","Краљево","Јово Курсула","Доситејева 136","36000","osjovokursula@gmail.com","(036)381131","http://jovokursula.edu.rs","7101015","101776004","1966-01-18","Основна школа","Државно","24","0","0","551","258","7","2","0","39","34.966400","57","50.644200"
"961.","999","Краљево","Рашки управни округ","Краљево - град","Ушће","Милун Ивановић","Милуна Ивановића бб","36342","milunskola@yahoo.com","(036)5430618","https://osmilunivanovic.wordpress.com","7100990","101252021","1907-02-04","Основна школа","Државно","14","0","0","193","94","7","3","0","31","21.255600","50","37.788900"
"962.","1000","Краљево","Рашки управни округ","Краљево - град","Годачица","Олга Милутиновић","Годачица бб","36220","osolgamilutino@gmail.com","(036)5877110","http://osolgamilutinovic.weebly.com","7100850","101071942","1957-07-06","Основна школа","Државно","10","0","0","114","59","1","2","0","25","14.172100","35","23.347100"
"963.","1001","Краљево","Рашки управни округ","Краљево - град","Самаила","Петар Николић","Самаила бб","36202","skolasamaila@gmail.com","(036)5882002","https://skolasamaila.edu.rs","7154046","101260780","1978-12-08","Основна школа","Државно","20","0","0","216","99","8","1","0","43","28.420000","57","42.250000"
"964.","1002","Краљево","Рашки управни округ","Краљево - град","Роћевићи","Јован Дучић","Роћевићи 146а","36205","osrocevici@gmail.com","(036)825295","http://osjdrocevici.weebly.com","7191260","101774603","1910-09-01","Основна школа","Државно","9","0","0","91","47","2","1","0","21","12.572100","34","23.132100"
"965.","1003","Краљево","Рашки управни округ","Краљево - град","Краљево","Светозар Марковић","Цара Душана 2","36000","svetmark.kv@gmail.com","(036)314296","https://ossvetozarmarkovic.wordpress.com","7100973","100264288","1958-11-28","Основна школа","Државно","33","0","0","892","452","1","8","0","61","46.161000","77","61.011000"
"966.","1004","Краљево","Рашки управни округ","Краљево - град","Брезова","Стефан Немања","Студеница бб","36343","os.stefannemanja@mts.rs","(036)5436450","http://www.sajtskole","7592914","101256390","1990-06-08","Основна школа","Државно","9","0","0","67","32","0","0","0","22","12.020000","34","21.520000"
"967.","1005","Краљево","Рашки управни округ","Краљево - град","Краљево","ИВ краљевачки батаљон","Олге Јовичић 1","36000","bataljonkv@gmail.com","(036)314330","http://bataljon.rs","7100892","101258254","1966-01-17","Основна школа","Државно","47","0","0","1108","543","13","3","0","85","64.788800","114","94.288800"
"968.","1006","Краљево","Рашки управни округ","Краљево - град","Врба","Доситеј Обрадовић","Врба 29","36214","skolavrba@gmail.com","(036)865336","http://www.osdositejobradovicvrba.weebly.com","7100884","101957378","1955-08-25","Основна школа","Државно","20","0","0","384","179","7","3","0","46","28.610000","65","45.930000"
"969.","1007","Краљево","Рашки управни округ","Краљево - град","Краљево","Чибуковачки партизани","Карађорђева 178","36000","os_cibukovac@mts.rs","36359660","http://www.oscibukovackipartizani.edu.rs","7100841","100264495","1960-08-19","Основна школа","Државно","25","0","0","580","282","2","5","0","46","35.081100","61","49.581100"
"970.","1008","Краљево","Рашки управни округ","Краљево - град","Витковац","Бранко Радичевић","Витковац бб","36207","osvitkovac@gmail.com","(036)5873889","NULL","7100965","101071241","1904-09-01","Основна школа","Државно","10","0","0","111","54","1","3","0","23","13.822100","32","21.538800"
"971.","1009","Краљево","Рашки управни округ","Краљево - град","Сирча","Јован Цвијић","Сирча ББ","36208","jcsirca1893@gmail.com","(036)5446264","http://www.jcsirca.nasaskola.rs","7100981","102029122","1893-10-15","Основна школа","Државно","14","0","0","219","113","0","1","0","29","17.077100","42","28.577100"
"972.","1010","Краљево","Рашки управни округ","Краљево - град","Адрани","Драган Маринковић","Aдрани 140","36203","osdraganmarinkovic@mts.rs","(036)841223","http://www.osadrani.edu.rs","7191006","100240031","1893-07-26","Основна школа","Државно","9","0","0","130","58","3","2","0","23","13.737700","34","21.607700"
"973.","1011","Краљево","Рашки управни округ","Нови Пазар - град","Осаоница","Доситеј Обрадовић","Осаоница бб","36314","odosaonica@yahoo.com","(020)351393","http://www.nema","7191952","102091009","1966-01-26","Основна школа","Државно","24","0","0","198","92","0","0","0","39","32.279400","56","46.683600"
"974.","1012","Краљево","Рашки управни округ","Нови Пазар - град","Дежева","Растко Немањић","Дежева бб","36305","skoladezeva@mts.rs","(020)353411","http://www.rastkonemanjic.com","7194072","102169344","1962-09-17","Основна школа","Државно","30","0","0","330","160","5","4","0","50","39.950000","70","57.650000"
"975.","1013","Краљево","Рашки управни округ","Нови Пазар - град","Нови Пазар","Братство","Гојка Бачанина 50","36300","osbratstvonp@gmail.com","(020)315112","http://bratstvo.rs","7191944","101795771","1970-05-08","Основна школа","Државно","60","0","0","1672","813","5","0","0","92","83.700000","113","104.600000"
"976.","1014","Краљево","Рашки управни округ","Нови Пазар - град","Нови Пазар","Вук Караџић","Генерала Живковића бб","36300","vkaradzicnp@mts.rs","(020)385709","https://www.vuk-karadzic.edu.rs","7348746","102169310","1986-12-29","Основна школа","Државно","69","0","0","1778","866","2","6","0","118","103.914300","139","126.664300"
"977.","1015","Краљево","Рашки управни округ","Нови Пазар - град","Нови Пазар","Десанка Максимовић","Цетињска 10","36300","osdesankam@gmail.com","(020)316360","http://www.osdm.info","7191910","101785059","1959-11-28","Основна школа","Државно","44","0","0","913","407","0","0","0","75","66.221000","93","84.191000"
"978.","1016","Краљево","Рашки управни округ","Нови Пазар - град","Нови Пазар","Јован Јовановић Змај","Вука Караџића бб","36300","jjzmajjnp@gmail.com","(020)320417","http://jjzmajnp.edu.rs","7357117","102012818","1988-08-31","Основна школа","Државно","29","0","0","623","284","5","5","0","51","43.710800","61","55.360800"
"979.","1017","Краљево","Рашки управни округ","Нови Пазар - град","Лукаре","Јошаница","Лукаре бб","36306","osjosanica.np@gmail.com","(020)433493","http://josanica.com","7191570","102383085","2016-09-17","Основна школа","Државно","26","0","0","343","184","2","1","0","55","39.943700","70","54.443700"
"980.","1018","Краљево","Рашки управни округ","Нови Пазар - град","Трнава","Ђура Јакшић","село Трнава бб","36300","ostrnava@mts.rs","(020)385728","http://www.trnava.com","7191324","102241231","1962-09-17","Основна школа","Државно","17","0","0","268","138","3","1","0","30","24.255000","40","33.114900"
"981.","1019","Краљево","Рашки управни округ","Нови Пазар - град","Рајчиновиће","Основна школа Халифа бин Заид ал Нахјан","Рајчиновиће бб","36300","dojevice@gmail.com","(020)360090","http://osdojevicenp.rs","7191995","102012787","1962-09-17","Основна школа","Државно","51","0","0","903","432","3","3","0","88","77.490000","114","106.440000"
"982.","1020","Краљево","Рашки управни округ","Нови Пазар - град","Нови Пазар","Рифат Бурџовић-Тршо","Ослобођења 103","36300","trsonp@gmail.com","(020)313260","http://www.ostrsonp.edu.rs","7192070","102012682","1959-06-06","Основна школа","Државно","46","0","0","1143","557","1","0","0","76","65.960700","96","85.200700"
"983.","1021","Краљево","Рашки управни округ","Нови Пазар - град","Нови Пазар","Стефан Немања","Кеј 37.Санџачке дивизије бб","36300","osstefannemanjanp@gmail.com","(020)313745","https://www.facebook.com/osstefannemanjanp","7192029","101792710","1979-01-31","Основна школа","Државно","44","0","0","1039","496","5","1","0","79","66.183500","102","87.063500"
"984.","1022","Краљево","Рашки управни округ","Рашка","Рашка","Рашка","Омладински центар3 бб","36350","raskaos@mts.rs","(036)736026","http://www.osraska.nasaskola.rs","7145110","101273300","1965-07-22","Основна школа","Државно","41","0","0","852","406","13","7","0","68","55.220000","95","81.220000"
"985.","1023","Краљево","Рашки управни округ","Рашка","Баљевац","Јосиф Панчић","Бошка Бухе 8","36344","osbaljevac@neobee.net","(036)791227","http://www.osjosifpancic.edu.rs","7145179","101609054","1965-07-22","Основна школа","Државно","24","0","0","310","156","0","3","0","48","33.340000","71","54.540000"
"986.","1024","Краљево","Рашки управни округ","Рашка","Супње","Сутјеска","27. новембар бб","36350","sutjeskaraska@yahoo.com","(036)250200","http://www.ossutjeska.nasaskola.rs","7341547","101272868","1985-09-01","Основна школа","Државно","27","0","0","454","234","3","10","0","49","36.576500","70","59.466500"
"987.","1025","Краљево","Рашки управни округ","Рашка","Јошаничка Бања","Јошаничка бања","Вука Караџића 17","36345","josbanja@mts.rs","365478206","http://www.osjosanickabanja.edu.rs","7145047","101609142","1965-07-22","Основна школа","Државно","7","0","0","96","42","0","1","0","20","10.572100","29","18.138700"
